date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:17:21	37432/37432	---MCZ	200	added ('OK')	text/html	date:Fri,%2029%20Dec%202017%2004:17:21%20GMT	https://www.templatemonster.com/es/demo/65566.html	D:/EMPRESA/OdomedSalud01/www.templatemonster.com/es/demo/65566.html	(from )
23:17:21	212/212	---MCZ	200	added ('OK')	text/plain	etag:W/%225a152d22-1bf%22	https://www.templatemonster.com/robots.txt		(from )
23:17:22	550/550	---M--	200	added ('OK')	image/png	etag:%2259cea577-226%22	https://s.tmimgcdn.com/img/logo-touch/favicon-16x16.png?d=fd37f38	D:/EMPRESA/OdomedSalud01/s.tmimgcdn.com/img/logo-touch/favicon-16x164b94.png	(from https://www.templatemonster.com/es/demo/65566.html)
23:17:22	1483/1483	---M--	200	added ('OK')	image/png	etag:%2259cea577-5cb%22	https://s.tmimgcdn.com/img/logo-touch/favicon-32x32.png?d=fd37f38	D:/EMPRESA/OdomedSalud01/s.tmimgcdn.com/img/logo-touch/favicon-32x324b94.png	(from https://www.templatemonster.com/es/demo/65566.html)
23:17:23	7226/7226	---M--	200	added ('OK')	image/png	etag:%2259cea577-1c3a%22	https://s.tmimgcdn.com/img/logo-touch/favicon-96x96.png?d=fd37f38	D:/EMPRESA/OdomedSalud01/s.tmimgcdn.com/img/logo-touch/favicon-96x964b94.png	(from https://www.templatemonster.com/es/demo/65566.html)
23:17:23	1747/1747	---M--	200	added ('OK')	image/png	etag:%2259cea577-6d3%22	https://s.tmimgcdn.com/img/logo-touch/android-chrome-36.png?d=fd37f38	D:/EMPRESA/OdomedSalud01/s.tmimgcdn.com/img/logo-touch/android-chrome-364b94.png	(from https://www.templatemonster.com/es/demo/65566.html)
23:17:23	2793/2793	---M--	200	added ('OK')	image/png	etag:%2259cea577-ae9%22	https://s.tmimgcdn.com/img/logo-touch/android-chrome-48.png?d=fd37f38	D:/EMPRESA/OdomedSalud01/s.tmimgcdn.com/img/logo-touch/android-chrome-484b94.png	(from https://www.templatemonster.com/es/demo/65566.html)
23:17:23	4724/4724	---M--	200	added ('OK')	image/png	etag:%2259cea577-1274%22	https://s.tmimgcdn.com/img/logo-touch/android-chrome-72.png?d=fd37f38	D:/EMPRESA/OdomedSalud01/s.tmimgcdn.com/img/logo-touch/android-chrome-724b94.png	(from https://www.templatemonster.com/es/demo/65566.html)
23:17:23	7226/7226	---M--	200	added ('OK')	image/png	etag:%2259cea577-1c3a%22	https://s.tmimgcdn.com/img/logo-touch/android-chrome-96.png?d=fd37f38	D:/EMPRESA/OdomedSalud01/s.tmimgcdn.com/img/logo-touch/android-chrome-964b94.png	(from https://www.templatemonster.com/es/demo/65566.html)
23:17:24	12220/12220	---M--	200	added ('OK')	image/png	etag:%2259cea577-2fbc%22	https://s.tmimgcdn.com/img/logo-touch/android-chrome-144.png?d=fd37f38	D:/EMPRESA/OdomedSalud01/s.tmimgcdn.com/img/logo-touch/android-chrome-1444b94.png	(from https://www.templatemonster.com/es/demo/65566.html)
23:17:24	19386/19386	---M--	200	added ('OK')	image/png	etag:%2259cea577-4bba%22	https://s.tmimgcdn.com/img/logo-touch/android-chrome-192.png?d=fd37f38	D:/EMPRESA/OdomedSalud01/s.tmimgcdn.com/img/logo-touch/android-chrome-1924b94.png	(from https://www.templatemonster.com/es/demo/65566.html)
23:17:24	18379/18379	---M--	200	added ('OK')	image/png	etag:%2259cea577-47cb%22	https://s.tmimgcdn.com/img/logo-touch/apple-touch-icon-precomposed.png?d=fd37f38	D:/EMPRESA/OdomedSalud01/s.tmimgcdn.com/img/logo-touch/apple-touch-icon-precomposed4b94.png	(from https://www.templatemonster.com/es/demo/65566.html)
23:17:24	17305/17305	---M--	200	added ('OK')	image/png	etag:%2259cea577-4399%22	https://s.tmimgcdn.com/img/logo-touch/apple-touch-icon-180.png?d=fd37f38	D:/EMPRESA/OdomedSalud01/s.tmimgcdn.com/img/logo-touch/apple-touch-icon-1804b94.png	(from https://www.templatemonster.com/es/demo/65566.html)
23:17:24	13193/13193	---M--	200	added ('OK')	image/png	etag:%2259cea577-3389%22	https://s.tmimgcdn.com/img/logo-touch/apple-touch-icon-152.png?d=fd37f38	D:/EMPRESA/OdomedSalud01/s.tmimgcdn.com/img/logo-touch/apple-touch-icon-1524b94.png	(from https://www.templatemonster.com/es/demo/65566.html)
23:17:25	12220/12220	---M--	200	added ('OK')	image/png	etag:%2259cea577-2fbc%22	https://s.tmimgcdn.com/img/logo-touch/apple-touch-icon-144.png?d=fd37f38	D:/EMPRESA/OdomedSalud01/s.tmimgcdn.com/img/logo-touch/apple-touch-icon-1444b94.png	(from https://www.templatemonster.com/es/demo/65566.html)
23:17:25	9395/9395	---M--	200	added ('OK')	image/png	etag:%2259cea577-24b3%22	https://s.tmimgcdn.com/img/logo-touch/apple-touch-icon-120.png?d=fd37f38	D:/EMPRESA/OdomedSalud01/s.tmimgcdn.com/img/logo-touch/apple-touch-icon-1204b94.png	(from https://www.templatemonster.com/es/demo/65566.html)
23:17:25	8875/8875	---M--	200	added ('OK')	image/png	etag:%2259cea577-22ab%22	https://s.tmimgcdn.com/img/logo-touch/apple-touch-icon-114.png?d=fd37f38	D:/EMPRESA/OdomedSalud01/s.tmimgcdn.com/img/logo-touch/apple-touch-icon-1144b94.png	(from https://www.templatemonster.com/es/demo/65566.html)
23:17:25	5127/5127	---M--	200	added ('OK')	image/png	etag:%2259cea577-1407%22	https://s.tmimgcdn.com/img/logo-touch/apple-touch-icon-76.png?d=fd37f38	D:/EMPRESA/OdomedSalud01/s.tmimgcdn.com/img/logo-touch/apple-touch-icon-764b94.png	(from https://www.templatemonster.com/es/demo/65566.html)
23:17:25	4724/4724	---M--	200	added ('OK')	image/png	etag:%2259cea577-1274%22	https://s.tmimgcdn.com/img/logo-touch/apple-touch-icon-72.png?d=fd37f38	D:/EMPRESA/OdomedSalud01/s.tmimgcdn.com/img/logo-touch/apple-touch-icon-724b94.png	(from https://www.templatemonster.com/es/demo/65566.html)
